state,city,scientific_name,count
Washington,Seattle,Malus,5206
Washington,Seattle,Prunus L.,4948
California,Los Angeles,Washingtonia robusta,37971
California,Los Angeles,Lagerstroemia indica,34729
California,Los Angeles,Magnolia grandiflora,30988
California,Los Angeles,Liquidambar styraciflua,30061
California,Los Angeles,Ficus microcarpa,28681
Colorado,Aurora,Gleditsia triacanthos,10428
Colorado,Aurora,Tilia,6107
Colorado,Aurora,Fraxinus pennsylvanica,5465
Colorado,Aurora,Acer platanoides,4745
Colorado,Aurora,Acer saccharinum,3433
California,Oakland,Platanus acerifolia,3788
California,Oakland,Liquidambar styraciflua,3312
California,Oakland,Prunus L.,2930
California,Oakland,Pyrus calleryana,2683
California,Oakland,Fraxinus,2161
California,San Francisco,Platanus acerifolia,11925
California,San Francisco,Metrosideros excelsa,8681
California,San Francisco,Tristaniopsis laurina,8509
California,San Francisco,Lophostemon confertus,8236
California,San Francisco,Magnolia grandiflora,7793
Massachusetts,Boston,Pinus strobus,267
Massachusetts,Boston,Acer rubrum,151
Massachusetts,Boston,Quercus rubra,115
Massachusetts,Boston,Prunus serotina,87
Massachusetts,Boston,Tree,74
California,Ontario,Lagerstroemia indica,4630
California,Ontario,Liquidambar styraciflua,4392
California,Ontario,Cinnamomum camphora,3900
California,Ontario,Platanus acerifolia,3328
California,Ontario,Pinus canariensis,3307
Michigan,Grand Rapids,Acer platanoides,20433
Michigan,Grand Rapids,Gleditsia triacanthos,5805
Michigan,Grand Rapids,Acer rubrum,4523
Michigan,Grand Rapids,Acer saccharum,3954
Michigan,Grand Rapids,Tilia cordata,3033
Maryland,Baltimore,Acer rubrum,12910
Maryland,Baltimore,Zelkova serrata,6766
Maryland,Baltimore,Platanus acerifolia,6056
Maryland,Baltimore,Tilia cordata,5932
Maryland,Baltimore,Prunus,5817
New Mexico,Albuquerque,Ulmus pumila,216
New Mexico,Albuquerque,Platanus acerifolia,186
New Mexico,Albuquerque,Gleditsia triacanthos,159
New Mexico,Albuquerque,Pinus nigra,149
New Mexico,Albuquerque,Fraxinus,148
North Carolina,Greensboro,Lagerstroemia,713
North Carolina,Greensboro,Quercus phellos,523
North Carolina,Greensboro,Carya illinoinensis,437
North Carolina,Greensboro,Ulmus,405
North Carolina,Greensboro,Celtis occidentalis,295
Oklahoma,Oklahoma City,Juniperus virginiana,711
Oklahoma,Oklahoma City,Lagerstroemia indica,689
Oklahoma,Oklahoma City,Quercus stellata,584
Oklahoma,Oklahoma City,Pistacia chinensis,567
Oklahoma,Oklahoma City,Ulmus parvifolia,455
California,Huntington Beach,Syagrus romanzoffianum,4681
California,Huntington Beach,Washingtonia robusta,4037
California,Huntington Beach,Lagerstroemia indica,3896
California,Huntington Beach,Eucalyptus camaldulensis,2574
California,Huntington Beach,Archontophoenix cunninghamiana,1665
California,Fresno,Cedrus deodara,749
California,Fresno,Pistacia chinensis,713
California,Fresno,Quercus lobata,588
California,Fresno,Ulmus parvifolia,444
California,Fresno,Quercus coccinea,397
Florida,Orlando,Quercus virginiana,17126
Florida,Orlando,Lagerstroemia indica,14988
Florida,Orlando,Quercus laurifolia,10620
Florida,Orlando,Sabal palmetto,2855
Florida,Orlando,Ulmus parvifolia,2609
Tennessee,Nashville,Platanus acerifolia,281
Tennessee,Nashville,Zelkova serrata,166
Tennessee,Nashville,Quercus phellos,154
Tennessee,Nashville,Liquidambar styraciflua,131
Tennessee,Nashville,Ulmus parvifolia,120
Missouri,St. Louis,Acer rubrum,8575
Missouri,St. Louis,Fraxinus pennsylvanica,7761
Missouri,St. Louis,Pyrus calleryana,7210
Missouri,St. Louis,Quercus palustris,6503
Missouri,St. Louis,Fraxinus americana,4557
Florida,Lutz,Quercus virginiana,1
Florida,Seffner,Quercus laurifolia,4
Florida,Seffner,Quercus nigra,4
Florida,Seffner,Quercus virginiana,3
Florida,Seffner,Ulmus parvifolia,1
Florida,Tampa,Quercus virginiana,5379
Florida,Tampa,Quercus geminata,3248
Florida,Tampa,Lagerstroemia indica,2851
Florida,Tampa,Sabal palmetto,1381
Florida,Tampa,Pinus elliottii,1236
Florida,Temple Terrace,Quercus geminata,3
Florida,Temple Terrace,Quercus laevis,3
Florida,Temple Terrace,Platanus occidentalis,1
Florida,Temple Terrace,Quercus incana,1
Nevada,Las Vegas,Pinus brutia,5888
Nevada,Las Vegas,Fraxinus velutina,4480
Nevada,Las Vegas,Washingtonia robusta,1844
Nevada,Las Vegas,Acacia stenophylla,1483
Nevada,Las Vegas,Vitex agnus-castus,1478
Arizona,Phoenix,Fraxinus velutina,19
Arizona,Phoenix,Syagrus romanzoffiana,16
Arizona,Phoenix,Cercidium floridum,14
Arizona,Phoenix,Fraxinus,12
Arizona,Phoenix,Citrus paradisi,11
Minnesota,Minneapolis,Fraxinus pennsylvanica,28206
Minnesota,Minneapolis,Acer platanoides,20191
Minnesota,Minneapolis,Ulmus americana,16232
Minnesota,Minneapolis,Acer saccharum,15362
Minnesota,Minneapolis,Tilia americana,12745
Indiana,Indianapolis,Acer saccharum,7042
Indiana,Indianapolis,Celtis occidentalis,5940
Indiana,Indianapolis,Malus,5803
Indiana,Indianapolis,Fraxinus americana,5717
Indiana,Indianapolis,Ulmus pumila,3977
Louisiana,New Orleans,Lagerstroemia indica,30244
Louisiana,New Orleans,Quercus virginiana,21775
Louisiana,New Orleans,Taxodium distichum,5409
Louisiana,New Orleans,Ilex attenuata,4186
Louisiana,New Orleans,Magnolia grandiflora,3471
Wisconsin,Madison,Acer platanoides,20918
Wisconsin,Madison,Fraxinus pennsylvanica,17377
Wisconsin,Madison,Tilia,4969
Wisconsin,Madison,Tilia cordata,3894
Wisconsin,Madison,Gleditsia triacanthos,3390
Ohio,Columbus,Fraxinus pennsylvanica,9402
Ohio,Columbus,Pyrus calleryana,9245
Ohio,Columbus,Acer rubrum,8657
Ohio,Columbus,Acer saccharum,7512
Ohio,Columbus,Gleditsia triacanthos,7090
Tennessee,Knoxville,Acer rubrum,683
Tennessee,Knoxville,Cornus florida,602
Tennessee,Knoxville,Acer saccharum,594
Tennessee,Knoxville,Lagerstroemia indica,517
Tennessee,Knoxville,Cercis canadensis,323
California,Garden Grove,Lagerstroemia indica,2358
California,Garden Grove,Lophostemon confertus,1643
California,Garden Grove,Cupaniopsis anacardioides,1438
California,Garden Grove,Pinus canariensis,1049
California,Garden Grove,Syagrus romanzoffianum,897
Hawaii,Ahuimanu,Lagerstroemia indica,7
Hawaii,Ahuimanu,Delonix regia,5
Hawaii,Ahuimanu,Harpullia pendula,1
Hawaii,Ahuimanu,Plumeria,1
Hawaii,Aiea,Albizia saman,1
Hawaii,Heeia,Lagerstroemia indica,1
Hawaii,Honolulu,Albizia saman,718
Hawaii,Honolulu,Cocos nucifera,635
Hawaii,Honolulu,Cassia nealiae,576
Hawaii,Honolulu,Tabebuia heterophylla,421
Hawaii,Honolulu,Acacia confusa,332
Hawaii,Kailua,Adonidia merrillii,983
Hawaii,Kailua,Cocos nucifera,981
Hawaii,Kailua,Tabebuia heterophylla,373
Hawaii,Kailua,Casuarina equisetifolia,345
Hawaii,Kailua,Conocarpus erectus,251
Hawaii,Kaneohe,Adonidia merrillii,297
Hawaii,Kaneohe,Cassia nealiae,154
Hawaii,Kaneohe,Tabebuia heterophylla,145
Hawaii,Kaneohe,Lagerstroemia indica,129
Hawaii,Kaneohe,Cocos nucifera,104
Hawaii,Waipahu,Cassia nealiae,27
Hawaii,Waipahu,Lagerstroemia speciosa,13
Hawaii,Waipahu,Cassia fistula,2
Hawaii,Waipahu,Harpullia pendula,1
Texas,Plano,Ulmus crassifolia,3641
Texas,Plano,Celtis occidentalis,3279
Texas,Plano,Quercus rubra,2598
Texas,Plano,Quercus virginiana,1906
Texas,Plano,Taxodium distichum,1598
Virginia,Richmond,Acer saccharum,227
Virginia,Richmond,Quercus phellos,171
Virginia,Richmond,Lagerstroemia indica,161
Virginia,Richmond,Acer rubrum,148
Virginia,Richmond,Quercus palustris,133
New Jersey,Jersey City,Thuja occidentalis,111
New Jersey,Jersey City,Quercus rubra,101
New Jersey,Jersey City,Quercus bicolor,92
New Jersey,Jersey City,Tilia cordata,78
New Jersey,Jersey City,Acer rubrum,63
Michigan,Detroit,Salix,1735
Michigan,Detroit,Populus,1276
Michigan,Detroit,Acer rubrum,1183
Michigan,Detroit,Ulmus,981
Michigan,Detroit,Platanus acerifolia,980
Oregon,Portland,Prunus,25635
Oregon,Portland,Acer platanoides,19209
Oregon,Portland,Acer rubrum,15475
Oregon,Portland,Pyrus,11700
Oregon,Portland,Acer,10635
Rhode Island,Providence,Acer platanoides,3054
Rhode Island,Providence,Pyrus calleryana,2792
Rhode Island,Providence,Gleditsia triacanthos,2050
Rhode Island,Providence,Platanus acerifolia,1867
Rhode Island,Providence,Fraxinus pennsylvanica,1714
California,San Jose,Platanus acerifolia,26291
California,San Jose,Pistacia chinensis,24316
California,San Jose,Lagerstroemia indica,21636
California,San Jose,Liquidambar styraciflua,14644
California,San Jose,Pyrus calleryana,9631
Georgia,Atlanta,Cercis canadensis,3678
Georgia,Atlanta,Lagerstroemia,2581
Georgia,Atlanta,Acer buergerianum,1742
Georgia,Atlanta,Lagerstroemia indica,1612
Georgia,Atlanta,Acer rubrum,1263
Georgia,AvondaleEstates,Parrotia persica,27
Georgia,AvondaleEstates,Cercis canadensis,24
Georgia,AvondaleEstates,Nyssa sylvatica,23
Georgia,AvondaleEstates,Acer buergerianum,15
Georgia,AvondaleEstates,Amelanchier arborea,14
Georgia,Brookhaven,Prunus incam,19
Georgia,Brookhaven,Quercus alba,11
Georgia,Brookhaven,Cercis canadensis,8
Georgia,Brookhaven,Quercus nuttallii,8
Georgia,Brookhaven,Acer rubrum,5
Georgia,CandlerMcAfee,Quercus rubra,8
Georgia,CandlerMcAfee,Quercus nuttallii,6
Georgia,CandlerMcAfee,Tilia americana,4
Georgia,CandlerMcAfee,Cercis canadensis,2
Georgia,CandlerMcAfee,Amelanchier grandiflora,1
Georgia,Chamblee,Cercis canadensis,28
Georgia,Chamblee,Acer buergerianum,16
Georgia,Chamblee,Quercus lyrata,14
Georgia,Chamblee,Lagerstroemia,12
Georgia,Chamblee,Acer rubrum,10
Georgia,Clarkston,Cercis canadensis,101
Georgia,Clarkston,Cornus florida,79
Georgia,Clarkston,Prunus L.,36
Georgia,Clarkston,Lagerstroemia indica,11
Georgia,Clarkston,Acer rubrum,4
Georgia,CollegePark,Quercus nuttallii,12
Georgia,CollegePark,Acer saccharum,10
Georgia,CollegePark,Magnolia,8
Georgia,CollegePark,Acer rubrum,7
Georgia,CollegePark,Chionanthus retusus,7
Georgia,Decatur,Cercis canadensis,221
Georgia,Decatur,Quercus alba,100
Georgia,Decatur,Nyssa sylvatica,76
Georgia,Decatur,Cornus florida,67
Georgia,Decatur,Magnolia,56
Georgia,Doraville,Nyssa sylvatica,56
Georgia,Doraville,Cercis canadensis,15
Georgia,Doraville,Quercus alba,11
Georgia,Doraville,Magnolia,9
Georgia,Doraville,Quercus falcata,8
Georgia,Dunwoody,Cercis canadensis,111
