name,num_of_occurrences,mean_canopy_cover
Celtis australis,1028,42.336186770428014
Aesculus hippocastanum,581,40.88691910499139
Carpinus betulus,536,13.54589552238806
Tilia cordata,509,19.849115913555995
Platanus x hispanica,502,102.36274900398406
Tilia x europaea,471,33.69787685774947
Acer campestre,458,11.875764192139739
Cupressus,399,4.4907268170426065
Sophora japonica,376,39.656648936170214
Prunus cerasifera,350,13.300571428571429
