stateCode,year,min,max
002,1980,45.97,74.49
002,1981,47.28,75.38
002,1982,45.43,72.02
002,1983,46.09,72.33
002,1984,45.61,73.25
002,1985,45.7,73.4
002,1986,46.73,74.38
002,1987,45.39,73.24
002,1988,45.9,74.52
002,1989,46.16,76.27
002,1990,45.68,73.77
002,1991,45.36,73.09
002,1992,46.13,73.05
002,1993,45.93,73.66
002,1994,46.37,74.73
002,1995,46.77,75.22
002,1996,47.37,76.37
002,1997,46.54,74.51
002,1998,45.33,73.2
002,1999,45.89,75.68
002,2000,47.28,76.06
002,2001,46.93,75.47
002,2002,46.28,76.02
002,2003,47.64,76.16
002,2004,46.58,74.2
002,2005,47.18,75.12
002,2006,46.55,75.69
002,2007,47.31,75.88
002,2008,46.29,74.93
002,2009,46.63,75.48
002,2010,46.53,74.22
002,2011,45.91,74.75
002,2012,47.41,76.78
002,2013,46.32,74.56
002,2014,48.01,76.48
002,2015,48.02,75.47
002,2016,47.91,76.43
002,2017,48.54,77.48
002,2018,47.97,76.54
002,2019,46.36,74.17
002,2020,47.52,77.68
002,2021,47.78,76.4
002,2022,47.04,75.38
002,2023,23.92,47.98
003,1895,47.77,69.93
003,1896,50.87,73.27
003,1897,49.75,72.85
003,1898,49.74,71.14
003,1899,48.65,71.3
003,1900,50.29,72.13
003,1901,48.22,72.28
003,1902,49.11,70.35
003,1903,47.4,69.57
003,1904,48.02,71.03
003,1905,48.59,68.92
003,1906,48.61,70.44
003,1907,49.89,72.35
003,1908,50.4,72.39
003,1909,49.67,72.9
003,1910,48.6,71.66
003,1911,50.92,73.18
003,1912,47.21,69.79
003,1913,49.55,71.68
003,1914,49.47,71.11
003,1915,49.01,70.52
003,1916,48.85,72.73
003,1917,46.26,70.4
003,1918,48.76,72.3
003,1919,49.76,71.71
003,1920,49.02,70.45
003,1921,51.68,74.94
003,1922,50.42,72.95
003,1923,50.11,71.31
003,1924,47.38,70.82
003,1925,49.96,73.7
003,1926,49.0,71.53
003,1927,51.08,72.96
003,1928,48.92,71.32
003,1929,48.59,70.73
003,1930,48.94,72.62
003,1931,50.47,72.88
003,1932,49.66,72.61
003,1933,50.98,73.65
003,1934,49.82,74.1
003,1935,49.86,71.68
003,1936,48.82,73.24
003,1937,49.12,70.89
003,1938,50.58,74.67
003,1939,49.92,73.99
003,1940,47.08,70.14
003,1941,50.15,72.35
003,1942,49.03,71.69
003,1943,48.77,73.32
003,1944,49.66,72.44
003,1945,49.43,71.11
003,1946,50.65,73.26
003,1947,48.52,71.9
003,1948,48.46,71.33
003,1949,49.63,72.11
003,1950,48.87,70.68
003,1951,48.57,71.6
003,1952,48.48,73.52
003,1953,49.18,74.42
003,1954,50.12,75.44
003,1955,49.08,72.53
003,1956,49.16,73.61
003,1957,50.2,70.9
003,1958,48.08,69.45
003,1959,48.88,71.12
003,1960,47.84,69.91
003,1961,48.1,70.17
003,1962,49.19,71.42
003,1963,47.97,72.66
003,1964,48.82,72.51
003,1965,49.6,72.43
003,1966,47.85,70.48
003,1967,48.42,71.3
003,1968,47.74,69.57
003,1969,48.17,70.87
003,1970,48.71,70.75
003,1971,49.02,71.92
003,1972,48.86,71.21
003,1973,50.16,70.98
003,1974,49.51,71.02
003,1975,48.98,70.81
003,1976,46.88,70.63
003,1977,49.38,72.14
003,1978,47.62,70.2
003,1979,47.17,68.84
003,1980,48.66,72.28
003,1981,48.94,71.5
003,1982,49.13,70.8
003,1983,48.12,69.59
003,1984,49.03,71.08
003,1985,48.93,70.73
