state,city,Fraxinus pennsylvanica,Acer platanoides,Acer freemanii,Acer saccharinum,Tilia cordata,Other
Florida,Cape Coral,6632,5727,3298.0,1724.0,903.0,11627.0
Colorado,Denver,25736,24178,12961.0,12735.0,11922.0,196819.0
Massachusetts,Worcester,9364,1346,1029.0,342.0,335.0,3061.0
Kansas,Overland Park,13289,7654,3419.0,1983.0,1929.0,16493.0
Texas,Houston,44320,44059,13013.0,10804.0,9561.0,90029.0
North Carolina,Durham,3103,2777,1027.0,718.0,573.0,7816.0
California,San Diego,22624,15129,13608.0,13269.0,12677.0,134913.0
Texas,Dallas,1238,844,761.0,691.0,497.0,2178.0
California,Santa Rosa,468,203,155.0,139.0,87.0,161.0
Iowa,Adair,72,53,27.0,22.0,16.0,129.0
Iowa,Adel,97,89,57.0,40.0,39.0,222.0
Iowa,Baxter,146,18,13.0,11.0,10.0,69.0
Iowa,Bayard,13,12,11.0,9.0,4.0,15.0
Iowa,Bondurant,61,51,40.0,34.0,22.0,296.0
Iowa,Bouton,49,27,18.0,14.0,6.0,44.0
Iowa,Carlisle,64,54,53.0,51.0,43.0,256.0
Iowa,Colfax,53,45,29.0,28.0,13.0,109.0
Iowa,Coon Rapids,159,88,65.0,40.0,34.0,284.0
Iowa,Dallas Center,148,103,94.0,83.0,50.0,341.0
Iowa,De Soto,73,12,12.0,9.0,6.0,46.0
Iowa,Des Moines,4,4,4.0,4.0,3.0,4.0
Iowa,Dexter,31,29,25.0,19.0,11.0,78.0
Iowa,Earlham,151,118,54.0,35.0,26.0,166.0
Iowa,Elkhart,28,17,16.0,12.0,10.0,32.0
Iowa,Granger,46,21,15.0,12.0,11.0,112.0
Iowa,Guthrie Center,68,38,27.0,20.0,17.0,58.0
Iowa,Hartford,4,4,2.0,2.0,2.0,13.0
Iowa,Kellogg,31,22,16.0,8.0,8.0,32.0
Iowa,Milo,81,48,32.0,19.0,19.0,127.0
Iowa,Mitchellville,51,26,22.0,20.0,18.0,108.0
Iowa,Monroe,33,28,27.0,25.0,23.0,262.0
Iowa,Newton,426,205,198.0,160.0,151.0,1977.0
Iowa,Oakland Acres,10,6,5.0,4.0,3.0,4.0
Iowa,Panora,56,45,22.0,21.0,16.0,59.0
Iowa,Pleasant Hill,200,168,91.0,90.0,80.0,775.0
Iowa,Polk City,55,21,12.0,9.0,6.0,15.0
Iowa,Prairie City,55,33,29.0,26.0,18.0,151.0
Iowa,Redfield,20,17,15.0,13.0,10.0,70.0
Iowa,Runnells,12,11,6.0,6.0,6.0,22.0
Iowa,Stuart,94,94,58.0,50.0,18.0,134.0
Iowa,Sully,22,21,20.0,15.0,11.0,70.0
Iowa,Union,47,21,19.0,15.0,13.0,50.0
Iowa,Van Meter,11,8,6.0,6.0,6.0,13.0
Iowa,Waukee,218,200,199.0,122.0,111.0,1096.0
Iowa,Windsor Heights,39,32,26.0,25.0,22.0,235.0
Iowa,Woodward,105,81,66.0,49.0,26.0,181.0
California,Sacramento,14111,4580,4285.0,4146.0,4047.0,53091.0
District of Columbia,Washington DC,12711,9981,9014.0,8904.0,6343.0,121052.0
New York,Buffalo,13265,9156,4725.0,2731.0,2601.0,41911.0
South Dakota,Sioux Falls,21452,5704,4933.0,4327.0,3097.0,21791.0
