city,state,scientific_name,tree_count
Des Moines,Iowa,Fraxinus pennsylvanica,4
Des Moines,Iowa,Acer platanoides,4
Des Moines,Iowa,Acer freemanii,4
Des Moines,Iowa,Acer saccharinum,4
Des Moines,Iowa,Tilia cordata,3
Des Moines,Iowa,Other,4
Dexter,Iowa,Fraxinus pennsylvanica,31
Dexter,Iowa,Acer platanoides,29
Dexter,Iowa,Acer freemanii,25
Dexter,Iowa,Acer saccharinum,19
Dexter,Iowa,Tilia cordata,11
Dexter,Iowa,Other,78
Earlham,Iowa,Fraxinus pennsylvanica,151
Earlham,Iowa,Acer platanoides,118
Earlham,Iowa,Acer freemanii,54
Earlham,Iowa,Acer saccharinum,35
Earlham,Iowa,Tilia cordata,26
Earlham,Iowa,Other,166
Elkhart,Iowa,Fraxinus pennsylvanica,28
Elkhart,Iowa,Acer platanoides,17
Elkhart,Iowa,Acer freemanii,16
Elkhart,Iowa,Acer saccharinum,12
Elkhart,Iowa,Tilia cordata,10
Elkhart,Iowa,Other,32
Granger,Iowa,Fraxinus pennsylvanica,46
Granger,Iowa,Acer platanoides,21
Granger,Iowa,Acer freemanii,15
Granger,Iowa,Acer saccharinum,12
Granger,Iowa,Tilia cordata,11
Granger,Iowa,Other,112
Guthrie Center,Iowa,Fraxinus pennsylvanica,68
Guthrie Center,Iowa,Acer platanoides,38
Guthrie Center,Iowa,Acer freemanii,27
Guthrie Center,Iowa,Acer saccharinum,20
Guthrie Center,Iowa,Tilia cordata,17
Guthrie Center,Iowa,Other,58
Hartford,Iowa,Fraxinus pennsylvanica,4
Hartford,Iowa,Acer platanoides,4
Hartford,Iowa,Acer freemanii,2
Hartford,Iowa,Acer saccharinum,2
Hartford,Iowa,Tilia cordata,2
Hartford,Iowa,Other,13
Kellogg,Iowa,Fraxinus pennsylvanica,31
Kellogg,Iowa,Acer platanoides,22
Kellogg,Iowa,Acer freemanii,16
Kellogg,Iowa,Acer saccharinum,8
Kellogg,Iowa,Tilia cordata,8
Kellogg,Iowa,Other,32
Milo,Iowa,Fraxinus pennsylvanica,81
Milo,Iowa,Acer platanoides,48
Milo,Iowa,Acer freemanii,32
Milo,Iowa,Acer saccharinum,19
Milo,Iowa,Tilia cordata,19
Milo,Iowa,Other,127
Mitchellville,Iowa,Fraxinus pennsylvanica,51
Mitchellville,Iowa,Acer platanoides,26
Mitchellville,Iowa,Acer freemanii,22
Mitchellville,Iowa,Acer saccharinum,20
Mitchellville,Iowa,Tilia cordata,18
Mitchellville,Iowa,Other,108
Monroe,Iowa,Fraxinus pennsylvanica,33
Monroe,Iowa,Acer platanoides,28
Monroe,Iowa,Acer freemanii,27
Monroe,Iowa,Acer saccharinum,25
Monroe,Iowa,Tilia cordata,23
Monroe,Iowa,Other,262
Newton,Iowa,Fraxinus pennsylvanica,426
Newton,Iowa,Acer platanoides,205
Newton,Iowa,Acer freemanii,198
Newton,Iowa,Acer saccharinum,160
Newton,Iowa,Tilia cordata,151
Newton,Iowa,Other,1977
Oakland Acres,Iowa,Fraxinus pennsylvanica,10
Oakland Acres,Iowa,Acer platanoides,6
Oakland Acres,Iowa,Acer freemanii,5
Oakland Acres,Iowa,Acer saccharinum,4
Oakland Acres,Iowa,Tilia cordata,3
Oakland Acres,Iowa,Other,4
Panora,Iowa,Fraxinus pennsylvanica,56
Panora,Iowa,Acer platanoides,45
Panora,Iowa,Acer freemanii,22
Panora,Iowa,Acer saccharinum,21
Panora,Iowa,Tilia cordata,16
Panora,Iowa,Other,59
Pleasant Hill,Iowa,Fraxinus pennsylvanica,200
Pleasant Hill,Iowa,Acer platanoides,168
Pleasant Hill,Iowa,Acer freemanii,91
Pleasant Hill,Iowa,Acer saccharinum,90
Pleasant Hill,Iowa,Tilia cordata,80
Pleasant Hill,Iowa,Other,775
Polk City,Iowa,Fraxinus pennsylvanica,55
Polk City,Iowa,Acer platanoides,21
Polk City,Iowa,Acer freemanii,12
Polk City,Iowa,Acer saccharinum,9
Polk City,Iowa,Tilia cordata,6
Polk City,Iowa,Other,15
Prairie City,Iowa,Fraxinus pennsylvanica,55
Prairie City,Iowa,Acer platanoides,33
Prairie City,Iowa,Acer freemanii,29
Prairie City,Iowa,Acer saccharinum,26
Prairie City,Iowa,Tilia cordata,18
Prairie City,Iowa,Other,151
Redfield,Iowa,Fraxinus pennsylvanica,20
Redfield,Iowa,Acer platanoides,17
Redfield,Iowa,Acer freemanii,15
Redfield,Iowa,Acer saccharinum,13
Redfield,Iowa,Tilia cordata,10
Redfield,Iowa,Other,70
Runnells,Iowa,Fraxinus pennsylvanica,12
Runnells,Iowa,Acer platanoides,11
Runnells,Iowa,Acer freemanii,6
Runnells,Iowa,Acer saccharinum,6
Runnells,Iowa,Tilia cordata,6
Runnells,Iowa,Other,22
Stuart,Iowa,Fraxinus pennsylvanica,94
Stuart,Iowa,Acer platanoides,94
Stuart,Iowa,Acer freemanii,58
Stuart,Iowa,Acer saccharinum,50
Stuart,Iowa,Tilia cordata,18
Stuart,Iowa,Other,134
Sully,Iowa,Fraxinus pennsylvanica,22
Sully,Iowa,Acer platanoides,21
Sully,Iowa,Acer freemanii,20
Sully,Iowa,Acer saccharinum,15
Sully,Iowa,Tilia cordata,11
Sully,Iowa,Other,70
Union,Iowa,Fraxinus pennsylvanica,47
Union,Iowa,Acer platanoides,21
Union,Iowa,Acer freemanii,19
Union,Iowa,Acer saccharinum,15
Union,Iowa,Tilia cordata,13
Union,Iowa,Other,50
Van Meter,Iowa,Fraxinus pennsylvanica,11
Van Meter,Iowa,Acer platanoides,8
Van Meter,Iowa,Acer freemanii,6
Van Meter,Iowa,Acer saccharinum,6
Van Meter,Iowa,Tilia cordata,6
Van Meter,Iowa,Other,13
Waukee,Iowa,Fraxinus pennsylvanica,218
Waukee,Iowa,Acer platanoides,200
Waukee,Iowa,Acer freemanii,199
Waukee,Iowa,Acer saccharinum,122
Waukee,Iowa,Tilia cordata,111
Waukee,Iowa,Other,1096
Windsor Heights,Iowa,Fraxinus pennsylvanica,39
Windsor Heights,Iowa,Acer platanoides,32
Windsor Heights,Iowa,Acer freemanii,26
Windsor Heights,Iowa,Acer saccharinum,25
Windsor Heights,Iowa,Tilia cordata,22
Windsor Heights,Iowa,Other,235
Woodward,Iowa,Fraxinus pennsylvanica,105
Woodward,Iowa,Acer platanoides,81
Woodward,Iowa,Acer freemanii,66
Woodward,Iowa,Acer saccharinum,49
Woodward,Iowa,Tilia cordata,26
Woodward,Iowa,Other,181
Sacramento,California,Fraxinus pennsylvanica,14111
Sacramento,California,Acer platanoides,4580
Sacramento,California,Acer freemanii,4285
Sacramento,California,Acer saccharinum,4146
Sacramento,California,Tilia cordata,4047
Sacramento,California,Other,53091
Washington DC,District of Columbia,Fraxinus pennsylvanica,12711
Washington DC,District of Columbia,Acer platanoides,9981
Washington DC,District of Columbia,Acer freemanii,9014
Washington DC,District of Columbia,Acer saccharinum,8904
Washington DC,District of Columbia,Tilia cordata,6343
Washington DC,District of Columbia,Other,121052
Buffalo,New York,Fraxinus pennsylvanica,13265
Buffalo,New York,Acer platanoides,9156
Buffalo,New York,Acer freemanii,4725
Buffalo,New York,Acer saccharinum,2731
Buffalo,New York,Tilia cordata,2601
Buffalo,New York,Other,41911
Sioux Falls,South Dakota,Fraxinus pennsylvanica,21452
Sioux Falls,South Dakota,Acer platanoides,5704
Sioux Falls,South Dakota,Acer freemanii,4933
Sioux Falls,South Dakota,Acer saccharinum,4327
Sioux Falls,South Dakota,Tilia cordata,3097
Sioux Falls,South Dakota,Other,21791
