city,state,scientific_name,tree_count
Miami,Florida,Fraxinus pennsylvanica,46
Miami,Florida,Acer platanoides,41
Miami,Florida,Acer freemanii,36
Miami,Florida,Acer saccharinum,34
Miami,Florida,Tilia cordata,33
Miami,Florida,Other,541
Austin,Texas,Fraxinus pennsylvanica,916
Austin,Texas,Acer platanoides,831
Austin,Texas,Acer freemanii,790
Austin,Texas,Acer saccharinum,609
Austin,Texas,Tilia cordata,590
Austin,Texas,Other,2239
Stockton,California,Fraxinus pennsylvanica,11392
Stockton,California,Acer platanoides,7552
Stockton,California,Acer freemanii,7354
Stockton,California,Acer saccharinum,7179
Stockton,California,Tilia cordata,5296
Stockton,California,Other,58934
Seattle,Washington,Fraxinus pennsylvanica,8244
Seattle,Washington,Acer platanoides,7543
Seattle,Washington,Acer freemanii,6304
Seattle,Washington,Acer saccharinum,5206
Seattle,Washington,Tilia cordata,4948
Seattle,Washington,Other,132658
Los Angeles,California,Fraxinus pennsylvanica,37971
Los Angeles,California,Acer platanoides,34729
Los Angeles,California,Acer freemanii,30988
Los Angeles,California,Acer saccharinum,30061
Los Angeles,California,Tilia cordata,28681
Los Angeles,California,Other,411180
Aurora,Colorado,Fraxinus pennsylvanica,10428
Aurora,Colorado,Acer platanoides,6107
Aurora,Colorado,Acer freemanii,5465
Aurora,Colorado,Acer saccharinum,4745
Aurora,Colorado,Tilia cordata,3433
Aurora,Colorado,Other,25441
New York,New York,Fraxinus pennsylvanica,87014
New York,New York,Acer platanoides,64264
New York,New York,Acer freemanii,58931
New York,New York,Acer saccharinum,53185
New York,New York,Tilia cordata,40112
New York,New York,Other,348663
Oakland,California,Fraxinus pennsylvanica,3788
Oakland,California,Acer platanoides,3312
Oakland,California,Acer freemanii,2930
Oakland,California,Acer saccharinum,2683
Oakland,California,Tilia cordata,2161
Oakland,California,Other,20694
San Francisco,California,Fraxinus pennsylvanica,11925
San Francisco,California,Acer platanoides,8681
San Francisco,California,Acer freemanii,8509
San Francisco,California,Acer saccharinum,8236
San Francisco,California,Tilia cordata,7793
San Francisco,California,Other,129924
Boston,Massachusetts,Fraxinus pennsylvanica,267
Boston,Massachusetts,Acer platanoides,151
Boston,Massachusetts,Acer freemanii,115
Boston,Massachusetts,Acer saccharinum,87
Boston,Massachusetts,Tilia cordata,74
Boston,Massachusetts,Other,639
Ontario,California,Fraxinus pennsylvanica,4630
Ontario,California,Acer platanoides,4392
Ontario,California,Acer freemanii,3900
Ontario,California,Acer saccharinum,3328
Ontario,California,Tilia cordata,3307
Ontario,California,Other,38984
Grand Rapids,Michigan,Fraxinus pennsylvanica,20433
Grand Rapids,Michigan,Acer platanoides,5805
Grand Rapids,Michigan,Acer freemanii,4523
Grand Rapids,Michigan,Acer saccharinum,3954
Grand Rapids,Michigan,Tilia cordata,3033
Grand Rapids,Michigan,Other,31954
Baltimore,Maryland,Fraxinus pennsylvanica,12910
Baltimore,Maryland,Acer platanoides,6766
Baltimore,Maryland,Acer freemanii,6056
Baltimore,Maryland,Acer saccharinum,5932
Baltimore,Maryland,Tilia cordata,5817
Baltimore,Maryland,Other,83143
